"pmcid";"pmid";"doi";"file_path_PMC";"pdf_file_path_PMC";"year";"type";"ISSN";"eISSN";"FoR_col";"FoR";"FoR_category";"approp";"bar";"bardot";"box";"dot";"flowno";"flowyes";"hist";"other";"pie";"text";"violin";"pdf_downloaded"
"PMC4549863";"26035126";"10.1097/IGC.0000000000000484";"oa_package/c4/5b/PMC4549863.tar.gz";NA;"2015";"research-article";"1048-891X";"1525-1438";"FoR_1";"1112";"1112 - Oncology and Carcinogenesis";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"6";"0";TRUE
"PMC5402710";"27101099";"10.1097/NCC.0000000000000385";"oa_package/f8/8e/PMC5402710.tar.gz";"oa_pdf/f8/8e/ncc-40-209.PMC5402710.pdf";"2017";"research-article";"0162-220X";"1538-9804";"FoR_2";"1112";"1112 - Oncology and Carcinogenesis";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"7";"0";TRUE
"PMC5928889";"29721079";"10.7150/thno.23544";"oa_package/16/47/PMC5928889.tar.gz";"oa_pdf/16/47/thnov08p2278.PMC5928889.pdf";"2018";"research-article";NA;"1838-7640";"FoR_1";"1112";"1112 - Oncology and Carcinogenesis";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"8";"0";TRUE
"PMC4255516";"25538596";"10.3389/fnhum.2014.00968";"oa_package/6b/5b/PMC4255516.tar.gz";NA;"2014";"research-article";NA;"1662-5161";"FoR_1";"1109";"1109 - Neurosciences";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"7";"0";TRUE
"PMC6260570";"30477576";"10.1186/s12913-018-3712-7";"oa_package/7d/16/PMC6260570.tar.gz";NA;"2018";"research-article";NA;"1472-6963";"FoR_1";"1110";"1110 - Nursing";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"8";"0";TRUE
"PMC3968596";"23638829";"10.2174/1573403X113099990001";"oa_package/68/eb/PMC3968596.tar.gz";NA;"2014";"research-article";"1573-403X";"1875-6557";"FoR_1";"1102";"1102 - Cardiorespiratory Medicine and Haematology";"0";"1";"0";"0";"1";"1";"0";"1";"1";"0";"9";"0";TRUE
"PMC5596856";"28899379";"10.1186/s12936-017-2009-3";"oa_package/31/94/PMC5596856.tar.gz";NA;"2017";"research-article";NA;"1475-2875";"FoR_2";"1108";"1108 - Medical Microbiology";"1";"0";"0";"0";"0";"1";"0";"0";"3";"0";"6";"0";TRUE
"PMC7899734";"33828703";"10.16910/jemr.11.4.1";"oa_package/4e/46/PMC7899734.tar.gz";NA;"2018";"research-article";NA;"1995-8692";"FoR_1";"1113";"1113 - Ophthalmology and Optometry";"3";"0";"0";"0";"0";"1";"0";"0";"5";"0";"11";"0";TRUE
"PMC7245677";"32508954";"10.1155/2020/7807026";"oa_package/59/ae/PMC7245677.tar.gz";NA;"2020";"research-article";"1741-427X";"1741-4288";"FoR_1";"1104";"1104 - Complementary and Alternative Medicine";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"7";"0";TRUE
"PMC6890620";"31782067";"10.1007/s40268-019-00290-3";"oa_package/59/42/PMC6890620.tar.gz";"oa_pdf/59/42/40268_2019_Article_290.PMC6890620.pdf";"2019";"research-article";"1174-5886";"1179-6901";"FoR_1";"1115";"1115 - Pharmacology and Pharmaceutical Sciences";"0";"0";"0";"0";"0";"1";"0";"0";"4";"0";"5";"0";TRUE
